id_renabap,nombre_barrio,peligrosidad,fam_expuestas_edificios,fam_expuestas_ghsl,fam_expuestas_areal
61,La Esperanza,alta,131.2218649517685,128.03873072730372,119.7371608381064
61,La Esperanza,baja,9.903536977491962,0.0,4.969404030176159
61,La Esperanza,media,106.46302250803858,69.05047437276622,90.6900058970324
63,La Palangana,baja,11.140625,0.0,5.645324891801443
63,La Palangana,media,38.75,17.400454494591756,26.423817093140293
64,El Molino,alta,39.08571428571428,23.836841252657486,30.625117892391085
64,El Molino,baja,3.8000000000000003,0.0,2.906675458962065
64,El Molino,media,73.28571428571429,71.16316154910707,56.923612904895094
65,Barrio Nuevo,alta,37.22536945812808,43.57895617397108,48.32459696765384
65,Barrio Nuevo,baja,73.62807881773399,52.421078292508554,49.01663873143599
65,Barrio Nuevo,media,118.46305418719213,87.84529135415323,98.64586385915783
68,Sin Nombre,baja,14.0,13.999999247925295,14.0
